#Select Statistics Per TCE From the Data Validation XML Files
#Mission = TESS
#Search = tess2018206190142
#Sectors = s0001-s0001
#Created Date = 2018-11-14
#
tceid,ticid,planetNumber,planetCandidateCount,starTeffKelvin,starLoggCgs,orbitalPeriodDays,orbitalPeriodDays_err,planetRadiusEarthRadii,planetRadiusEarthRadii_err,ratioPlanetRadiusToStarRadius,ratioSemiMajorAxisToStarRadius,semiMajorAxisAu,starRadiusSolarRadii,transitDepthPpm,transitDepthPpm_err,transitDurationHours,transitEpochBtjd,transitEpochBtjd_err,transitIngressTimeHours,minImpactParameter,ws_mes,ws_mesphase,expectedtransitcount,chiSquare2,mes,maxses,equilibriumTempKelvin,InsolationFlux
00114985772-01,114985772,1,1,3345,4.94133,19.0261,0.0100567,1.78893,0.365421,0.0532034,11.5744,0.0936553,0.308,3334.11,535.104,13.244,1330.82,0.00712873,0.670635,0.00535782,5.07933,-1.99167,2,3.30931,17.6575,15.2427,267.668,1.21314
00114988852-01,114988852,1,1,5780,4.438,17.6287,0.00759737,4.85292,1.1727,0.044453,9.12884,0.132628,1,1196.5,159.665,5.55451,1330.27,0.00462484,2.77726,0.975098,8.35169,0.47917,2,13.685,11.8092,15.0673,700.329,56.85
00115015715-01,115015715,1,1,4107,4.59984,14.1393,0.00247629,3.95801,1.12883,0.0544539,46.4939,0.0988442,0.665803,3598.83,493.16,2.42909,1337.18,0.00174667,0.127753,0.137351,4.99324,5.25972,2,2.13922,9.98893,9.74025,470.342,11.5658
00115105140-01,115105140,1,1,6229,4.438,9.34952,0.000676777,40.1628,6.65644,0.150354,1.1168,0.157793,2.44685,21048.6,1563.38,112.194,1326.11,0.00136023,50.6537,0.841253,17.9098,1.06805,4,12.3146,33.0428,34.5954,1082.36,324.342
00115115136-01,115115136,1,2,5888,4.05259,3.96179,8.91494e-005,29.5166,7.08266,0.167795,7.78314,0.0501267,1.61133,32682.6,222.649,4.55831,1327.89,0.000308497,0.658013,0.00517421,5.81615,1.97222,7,1060.82,134.233,58.7679,1473.05,1112.73
00115115136-02,115115136,2,2,5888,4.05259,3.96224,0.000847989,8.57869,2.11623,0.0487679,5.42682,0.0501305,1.61133,2426.89,158.456,4.24398,1325.9,0.0030505,0.407151,0.731582,4.57577,2.54583,7,2.78599,11.6303,5.92868,1472.99,1112.56
00117515123-01,117515123,1,2,4857,4.438,0.259615,5.94549e-006,9.08641,0.636371,0.0832319,3.2741,0.00796847,1,7149.74,707.751,0.518326,1325.47,0.000114453,0.0746763,0.700349,11.8415,0.12828,107,86.6589,14.1768,18.2137,2400.89,7852.57
00117515123-02,117515123,2,2,4857,4.438,0.259535,-1,4.30098,-1,0.0393972,4.14752,0.00796683,1,534479,0,0.5,1325.34,-1,0.0195044,0.1,10.2368,-0.05328,0,116.249,38.1574,5.07133,2401.14,7855.78
00117544915-01,117544915,1,3,6220,3.60015,1.4856,-1,69.2808,-1,0.220757,6.94057,0.0270938,2.87472,0,0,2,1325.83,-1,0.366785,0.1,5.41165,-0.23611,0,114383,1616.47,837.35,2827.13,15097.4
00117544915-02,117544915,2,3,6220,3.60015,1.48414,-1,11.2862,-1,0.0359624,7.81736,0.0270761,2.87472,1481.59,-1,1.5,1325.64,-1,0.0528561,0.1,41.7422,0.38472,19,51.4339,53.7569,19.2444,2828.05,15117.1
